Experience (years),TOEIC Score,Employment Status
3.7,702,0
9.5,401,0
7.3,729,1
6.0,555,1
1.6,161,0
1.6,201,0
0.6,957,0
8.7,269,0
6.0,862,1
7.1,815,1
0.2,270,0
9.7,455,0
8.3,461,0
2.1,726,0
1.8,251,0
1.8,701,0
3.0,295,0
5.2,724,1
4.3,719,0
2.9,748,0
6.1,337,0
1.4,878,0
2.9,52,0
3.7,791,0
4.6,921,1
7.9,216,0
2.0,763,0
5.1,187,0
5.9,379,0
0.5,492,0
6.1,40,0
1.7,156,0
0.7,14,0
9.5,812,1
9.7,64,0
8.1,856,1
3.0,838,0
1.0,520,0
6.8,343,0
4.4,128,0
1.2,647,0
5.0,471,0
0.3,62,0
9.1,138,0
2.6,498,0
6.6,592,1
3.1,391,0
5.2,674,1
5.5,418,0
1.8,288,0
